Azure_Org_Name,Project_Name,Repository_Name,Status
,udemydevopscourse,bicep,bicep-templates,Operation Disable Failed
,udemydevopscourse,bicep,bicep,Operation Disable Failed
,udemydevopscourse,demo_arm_template_deploy,demo_arm_template_deploy,Operation Disable Failed
,udemydevopscourse,The Mcguffin,mainRepo_for_test_purpose,Operation Disable Failed
,udemydevopscourse,The Azure Dev Ops,The Azure Dev Ops,Operation Disable Failed
,udemydevopscourse,The Mcguffin,demo_flatris_game,Operation Disable Failed
,udemydevopscourse,The Mcguffin,Dual-Axis-Illusion,Operation Disable Failed
,udemydevopscourse,The Mcguffin,The Mcguffin,Operation Disable Failed
,udemydevopscourse,bicep,bicep-templates,Operation Disable Failed
,udemydevopscourse,bicep,bicep,Operation Disable Failed
,udemydevopscourse,The Azure Dev Ops,The Azure Dev Ops,Operation Disable Failed
,udemydevopscourse,The Mcguffin,demo_flatris_game,Operation Disable Failed
,udemydevopscourse,The Mcguffin,Dual-Axis-Illusion,Operation Disable Failed
,udemydevopscourse,The Mcguffin,The Mcguffin,Operation Disable Failed
